"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID"
"5/7/22 21:35","Eagle river","WI","USA","Light","20min","Observed light that didn’t cast any light “hover” for 20min","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167802.html","45X2022.06.05.10.29.06"
"5/7/22 21:30","Rockford","IL","USA","Diamond","","Orange lights flashing on them and the was moving slow","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167796.html","46X2022.06.05.10.29.06"
"5/7/22 20:15","Cranleigh","Surrey","United Kingdom","Circle","2 seconds","There for to 2 seconds moved 2 inches then dissappeared","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167804.html","47X2022.06.05.10.29.06"
"5/7/22 19:47","Buffalo","NY","USA","","","MADAR Node 163","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167858.html","48X2022.06.05.10.29.06"
"5/7/22 13:25","Saint Peters","MO","USA","Changing","7 minutes or more","Drone swarm or something else","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167803.html","49X2022.06.05.10.29.06"
"5/7/22 13:14","Irmo","SC","USA","","","MADAR Node 95","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167859.html","50X2022.06.05.10.29.06"
"5/7/22 11:38","Dothan","AL","USA","","","MADAR Node 195","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167853.html","51X2022.06.05.10.29.06"
"5/7/22 06:37","Elizabeth","CO","USA","","","MADAR Node 34","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167866.html","52X2022.06.05.10.29.06"
"5/7/22 03:13","Fountain Hills","AZ","USA","Light","Around 3-5 minutez","2 crafts that could independently move directions. One then started heading south west and vanished so we kept watching the one as it..","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167807.html","53X2022.06.05.10.29.06"
"5/7/22 02:40","Edmonds","WA","USA","","","MADAR Node 61","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167865.html","54X2022.06.05.10.29.06"
"5/6/22 22:30","Fife Lake","MI","USA","Circle","2-3 minutes","small white dots similar to lights seen by airplanes but evenly spaced moving linearly across the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167801.html","55X2022.06.05.10.29.06"
"5/6/22 17:44","Ottawa","ON","Canada","Cylinder","Less than a minute","Moments after a CE 5 type meditation, a cylinder and sphere appeared.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167782.html","56X2022.06.05.10.29.06"
"5/6/22 16:54","","","","","Caleb","((HOAX))  888888888888","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167687.html","57X2022.06.05.10.29.06"
"5/6/22 06:41","Youngstown","OH","USA","","","MADAR Node 73","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167861.html","58X2022.06.05.10.29.06"
"5/6/22 06:01","Orlando","FL","USA","Cone","5 minutes","Not sure. Looks like something machanically controlled decent","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167764.html","59X2022.06.05.10.29.06"
"5/6/22 05:48","Port St. Lucie","FL","USA","Other","1 min video","Bright orange disc","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167765.html","60X2022.06.05.10.29.06"
"5/6/22 05:47","Lehigh Acres","FL","USA","Light","Approximately 30 minutes","Early morning, still dark, waiting at bus stop","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167757.html","61X2022.06.05.10.29.06"
"5/6/22 05:46","Sarasota","FL","USA","Unknown","","Hovering in one spot","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167759.html","62X2022.06.05.10.29.06"
