"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/11/22 12:16","Jericho","NY","USA","Changing","Approx. 10-15 minutes","Looking up in the parking lot","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171681.html","385X2022.11.14.18.04.39",FALSE
"9/11/22 07:20","Anoka","MN","USA","Disk","12 minutes","I witnessed a suspicious aircraft in air and captured it on video.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171691.html","386X2022.11.14.18.04.39",FALSE
"9/11/22 06:02","Riviera Beach","FL","USA","Cigar","45 seconds","Bright yellow orange cigar or cylindrical object appeared at the horizon.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171688.html","387X2022.11.14.18.04.39",FALSE
"9/11/22 05:30","palm bay","FL","USA","Cigar","8mins","very large craft cigar shape","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171690.html","388X2022.11.14.18.04.39",FALSE
"9/11/22 05:20","North Topsail Beach","NC","USA","Cylinder","20 seconds","Large and easily seen in vertical position covered on white lights like dots","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171696.html","389X2022.11.14.18.04.39",FALSE
"9/11/22 00:30","Hartselle","AL","USA","Sphere","1hr 30min","Two very bright bright white spheres one more so than the other. Both shape shifted. One to the west, and one adjacent to the moon","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171699.html","390X2022.11.14.18.04.39",FALSE
"9/10/22 23:00","Saint peters","MO","USA","Triangle","15 minutes","Bright triangle shape flying around","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171692.html","391X2022.11.14.18.04.39",FALSE
"9/10/22 23:00","Quincy","IL","USA","Light","Hour","Got a still video picture of our star gazing.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171667.html","392X2022.11.14.18.04.39",FALSE
"9/10/22 22:45","Umatilla","FL","USA","Fireball","1 minute","Fireball flying upwards in the sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171695.html","393X2022.11.14.18.04.39",FALSE
"9/10/22 21:10","Lake City","FL","USA","Circle","Roughly one minute","Looking South,Southeast wait for Space X to launch","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171703.html","394X2022.11.14.18.04.39",FALSE
"9/10/22 20:36","Oak Grove","AR","USA","Light","3 Seconds","A bright yellow light formed above the tree line and shot straight up and disappeared.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171683.html","395X2022.11.14.18.04.39",FALSE
"9/10/22 20:00","Outer Benson/ Texas Canyon/ Sibyl","AZ","USA","Fireball","Hours","Very large portion off mountain glowing will not believe when we got closer!","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171697.html","396X2022.11.14.18.04.39",FALSE
"9/10/22 19:30","WESTLAKE","OH","USA","Light","1-2 s","Fast large lights in night sky","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171701.html","397X2022.11.14.18.04.39",FALSE
