"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1193","11/19/21 03:15","Lakeville","MN","USA","Delta","about 20 seconds","l","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166190.html","769X2022.04.30.18.48.21",FALSE
"1194","11/19/21 02:58","Springfield","MO","USA",NA,NA,"Large V-shaped object observed during eclipse","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165963.html","770X2022.04.30.18.48.21",FALSE
"1195","11/19/21 02:45","Columbia","MO","USA","Other",NA,"Black thing and saucer observed in the morning sky, video taken.  ((NUFORC Note:  MUFON CMS report.  PD))","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165964.html","771X2022.04.30.18.48.21",FALSE
"1196","11/19/21 01:15","Lansing","IL","USA","Circle",NA,"Taking pics of sky as I usually do","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166197.html","772X2022.04.30.18.48.21",FALSE
"1197","11/19/21 00:29","Ward","AR","USA","Unknown","Less than 1 second","Photo.  ((NUFORC Note:  Possibly a lens flare?? PD))","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166720.html","773X2022.04.30.18.48.21",FALSE
"1198","11/18/21 23:30","Albuquerque","NM","USA","Light","15 seconds","It looked like a very large, slow satellite, and then it disappeared.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166226.html","774X2022.04.30.18.48.21",FALSE
"1199","11/18/21 18:30","Hurley","WI","USA","Triangle","Approximately 2 minutes","My kids and I witnessed an object maybe 100 feet above us.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166049.html","775X2022.04.30.18.48.21",FALSE
"1200","11/18/21 05:30","Liberty","MO","USA","Triangle",NA,"40-50' off the ground, triangle-shaped heading west.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165965.html","777X2022.04.30.18.48.21",FALSE
"1201","11/17/21 19:45","Stony Point","NY","USA","Formation","3-4 minutes","Formation pattern of 8 red objects.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166235.html","779X2022.04.30.18.48.21",FALSE
"1202","11/17/21 19:00","Houston","TX","USA","Diamond","1 or 2 seconds","Went outside looked up there was a huge space craft floating in the air took off right away. All I seen after was a streak of light","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166042.html","780X2022.04.30.18.48.21",FALSE
"1203","11/17/21 18:00","Branford","CT","USA",NA,"15 minutes as I drove hom","Saw same object maybe 3-4 times at same times each night","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166116.html","781X2022.04.30.18.48.21",FALSE
"1204","11/14/21 23:40","Conroe","TX","USA","Light","30 seconds","There was a very dim light moving extremely fast while star gazing. It headed north east and shot up fast shortly after leaving my view","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166310.html","785X2022.04.30.18.48.21",FALSE
"1205","11/14/21 10:40","Greenville","SC","USA","Sphere","10min.+ -","S-W 7 or so white sphere's playing in mid air moving from side to side like disappearing and reappearing back and forth up and down.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166681.html","787X2022.04.30.18.48.21",FALSE
"1206","11/13/21 11:00","Littleton","CO","USA","Light","30 minutes","""Foo Fighter"" chased by two military helicopters","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166564.html","790X2022.04.30.18.48.21",FALSE
"1207","11/12/21 00:40","Freeburg","IL","USA","Unknown","Atleast 15 mins","Orbs that we<U+0092>re hovering in one spot","3/4/22","Yes","https://www.nuforc.org/webreports/reports/165/S165939.html","795X2022.04.30.18.48.21",FALSE
"1208","11/11/21 18:00","Bethalto","IL","USA","Other","30 seconds","Huge v shape with 9 lights","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166361.html","796X2022.04.30.18.48.21",FALSE
"1209","11/8/21 15:00","Lebanan","TN","USA","Rectangle","not stated","All-black rectangular object flying very low and slow","3/4/22",NA,"https://www.nuforc.org/webreports/reports/165/S165975.html","802X2022.04.30.18.48.21",FALSE
"1210","11/6/21 21:30","Sellersville/Perkasie, PA","PA","USA","Unknown","Mere seconds","UFO swooped in over our car and disappeared.","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166063.html","808X2022.04.30.18.48.21",FALSE
"1211","11/1/21 14:02","Wadsworth","IL","USA","Sphere","5 minutes","Conducted CE5 protocols and immediately spotted a circular hovering craft monitoring me in the sky.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166563.html","815X2022.04.30.18.48.21",FALSE
