"X","Date.Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
NA,"5/8/22 21:42","Mansfield","","","Oval","","I seen an UFO hovering. It looked to be an oval shape and/or cigar shape.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167789.html","32X2022.06.05.10.29.06",NA
NA,"5/8/22 21:20","Tulum","Yucatán","Mexico","Star","5 seconds","Small dot of light, looked like a satellite, moving in straight line. Then, sudden change of direction, significant change of speed.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167788.html","33X2022.06.05.10.29.06",NA
NA,"5/8/22 20:45","Chisholm","MN","USA","","A few minutes","Lights","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167773.html","34X2022.06.05.10.29.06",NA
NA,"5/8/22 20:40","La Vergne","TN","USA","Fireball","20 seconds or so","Large bright orange light resembling a flickering flame flew steadily across the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167791.html","35X2022.06.05.10.29.06",NA
NA,"5/8/22 19:48","naples","FL","USA","Sphere","45 minutes","did not move and faded as sun set on it.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167792.html","36X2022.06.05.10.29.06",NA
NA,"5/8/22 19:30","Gatlinburg","TN","USA","Unknown","10 minutes","Large bright orange glowing light that moved across the mountains. The sky appeared completely clouded during this glow","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167790.html","37X2022.06.05.10.29.06",NA
NA,"5/8/22 19:30","Orlando","FL","USA","Circle","2 minutes roughly","Craft was emerald green flickering straight high above all other flying aircraft & silent & at times & disappearing at other times","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167780.html","38X2022.06.05.10.29.06",NA
NA,"5/8/22 17:51","menasha","WI","USA","Unknown","","we noticed it in a photo and we cant figure out what it might be","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167775.html","39X2022.06.05.10.29.06",NA
NA,"5/8/22 15:30","Bessemer","MI","USA","Rectangle","5-7 seconds","Bright shiny reflective rectangle coming from the moon","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167800.html","40X2022.06.05.10.29.06",NA
NA,"5/8/22 14:00","","Kent","United Kingdom","Circle","30 seconds","I have video of the craft and I don’t know how to share this with the correct agency","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167776.html","41X2022.06.05.10.29.06",NA
NA,"5/8/22 05:15","LAKEWOOD","OH","USA","Circle","Longer than an hour","Seen 2 objects circular with lights Lakewood ohio","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167797.html","42X2022.06.05.10.29.06",NA
NA,"5/8/22 04:30","Monroe","MI","USA","Light","Approximately 6 seconds.","Very fast moving light, high up","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167798.html","43X2022.06.05.10.29.06",NA
NA,"5/8/22 04:06","Miami","FL","USA","Light","1 minute","UFO made several looping maneuvers in the sky at incredible speed and precision before disappearing.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167795.html","44X2022.06.05.10.29.06",NA
NA,"5/7/22 21:35","Eagle river","WI","USA","Light","20min","Observed light that didn’t cast any light “hover” for 20min","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167802.html","45X2022.06.05.10.29.06",NA
NA,"5/7/22 21:30","Rockford","IL","USA","Diamond","","Orange lights flashing on them and the was moving slow","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167796.html","46X2022.06.05.10.29.06",NA
NA,"5/7/22 20:15","Cranleigh","Surrey","United Kingdom","Circle","2 seconds","There for to 2 seconds moved 2 inches then dissappeared","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167804.html","47X2022.06.05.10.29.06",NA
NA,"5/7/22 19:47","Buffalo","NY","USA","","","MADAR Node 163","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167858.html","48X2022.06.05.10.29.06",NA
NA,"5/7/22 13:25","Saint Peters","MO","USA","Changing","7 minutes or more","Drone swarm or something else","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167803.html","49X2022.06.05.10.29.06",NA
NA,"5/7/22 13:14","Irmo","SC","USA","","","MADAR Node 95","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167859.html","50X2022.06.05.10.29.06",NA
NA,"5/7/22 11:38","Dothan","AL","USA","","","MADAR Node 195","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167853.html","51X2022.06.05.10.29.06",NA
NA,"5/7/22 06:37","Elizabeth","CO","USA","","","MADAR Node 34","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167866.html","52X2022.06.05.10.29.06",NA
NA,"5/7/22 03:13","Fountain Hills","AZ","USA","Light","Around 3-5 minutez","2 crafts that could independently move directions. One then started heading south west and vanished so we kept watching the one as it..","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167807.html","53X2022.06.05.10.29.06",NA
NA,"5/7/22 02:40","Edmonds","WA","USA","","","MADAR Node 61","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167865.html","54X2022.06.05.10.29.06",NA
NA,"5/6/22 22:30","Fife Lake","MI","USA","Circle","2-3 minutes","small white dots similar to lights seen by airplanes but evenly spaced moving linearly across the sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167801.html","55X2022.06.05.10.29.06",NA
NA,"5/6/22 17:44","Ottawa","ON","Canada","Cylinder","Less than a minute","Moments after a CE 5 type meditation, a cylinder and sphere appeared.","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167782.html","56X2022.06.05.10.29.06",NA
NA,"5/6/22 16:54","","","","","Caleb","((HOAX))  888888888888","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167687.html","57X2022.06.05.10.29.06",NA
NA,"5/6/22 06:41","Youngstown","OH","USA","","","MADAR Node 73","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167861.html","58X2022.06.05.10.29.06",NA
NA,"5/6/22 06:01","Orlando","FL","USA","Cone","5 minutes","Not sure. Looks like something machanically controlled decent","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167764.html","59X2022.06.05.10.29.06",NA
NA,"5/6/22 05:48","Port St. Lucie","FL","USA","Other","1 min video","Bright orange disc","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167765.html","60X2022.06.05.10.29.06",NA
NA,"5/6/22 05:47","Lehigh Acres","FL","USA","Light","Approximately 30 minutes","Early morning, still dark, waiting at bus stop","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167757.html","61X2022.06.05.10.29.06",NA
NA,"5/6/22 05:46","Sarasota","FL","USA","Unknown","","Hovering in one spot","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167759.html","62X2022.06.05.10.29.06",NA
NA,"5/6/22 05:45","Ft Myers","FL","USA","Light","10","See notes, bright swath of light, spilling out of dark sky, another bright spot coming down to land from it","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167761.html","63X2022.06.05.10.29.06",NA
NA,"5/6/22 05:30","Tampa","FL","USA","Changing","10minutes","Strang lights  ((NUFORC Note","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167762.html","64X2022.06.05.10.29.06",NA
NA,"5/6/22 05:30","","FL","USA","Cylinder","1 hour or more","Happened over Lake County Florida","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167760.html","65X2022.06.05.10.29.06",NA
NA,"5/6/22 05:30","Tampa","FL","USA","Light","Captured in photo","Spotted while taking photos of space x launch","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167754.html","66X2022.06.05.10.29.06",NA
NA,"5/6/22 05:00","okeechobee","FL","USA","Circle","10 minutes","large round ball with light on in side . it seemed to get bigger and then smaller as if moving back and forth .","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167763.html","67X2022.06.05.10.29.06",NA
NA,"5/6/22 04:34","Syracuse","NY","USA","","","MADAR Node 164","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167857.html","68X2022.06.05.10.29.06",NA
NA,"5/6/22 04:00","Moultrie","GA","USA","Teardrop","20 seconds","I caught this on my security camera. Time was actually about 9:59pm","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167808.html","69X2022.06.05.10.29.06",NA
NA,"5/6/22 03:40","Fort Myers","FL","USA","Sphere","30 mins","A single ship covered in a cloud like fog created a spotlight in the dead of night. The spotlight guided a small bright light/orb down","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167781.html","70X2022.06.05.10.29.06",NA
NA,"5/5/22 23:52","Eagle river","WI","USA","Light","11-12min","Saw oblong light bobbing 30yds have video","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167767.html","71X2022.06.05.10.29.06",NA
NA,"5/5/22 21:55","Norristown","PA","USA","Sphere","1 minute","Watched an orange orb travel sw to ne in a straight line.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167752.html","72X2022.06.05.10.29.06",NA
NA,"5/5/22 20:15","LEWES","DE","USA","Light","Approx. 3-5 mins","Daughter noticed these lights and they were seemingly floating past. She took the attached photo with her cell","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167753.html","73X2022.06.05.10.29.06",NA
NA,"5/5/22 07:14","Portland","OR","USA","","","MADAR Node 66","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167863.html","74X2022.06.05.10.29.06",NA
NA,"5/5/22 04:50","Port Murray","NJ","USA","Circle","15-20 minutes","7 orbs hovering in sky","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167747.html","75X2022.06.05.10.29.06",NA
NA,"5/5/22 02:37","Youngstown","OH","USA","","","MADAR Node 73","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167862.html","76X2022.06.05.10.29.06",NA
NA,"5/4/22 22:00","Beaufort","SC","USA","Light","15 to 30 seconds","Noticed two (2) flashing white strobe lights in the sky traveling from North to South at a high rate of speed.","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167749.html","77X2022.06.05.10.29.06",NA
NA,"5/4/22 21:43","westlake village","CA","USA","Circle","2 min","several large lights moving quickly disappearing and reappearing and chaining color from white to blue","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167745.html","78X2022.06.05.10.29.06",NA
NA,"5/4/22 17:30","Roseville","MI","USA","Cone","3-5min","Ship seen hovering above highway","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167750.html","79X2022.06.05.10.29.06",NA
NA,"5/4/22 05:47","Corpus Christi","TX","USA","","Hours","I SAW SYMBOLS LETTERS IN A REPEAT PATTERN","5/31/22","Yes","https://www.nuforc.org/webreports/reports/167/S167746.html","80X2022.06.05.10.29.06",NA
NA,"5/4/22 02:12","Dothan","AL","USA","","","MADAR Node 195","5/31/22","","https://www.nuforc.org/webreports/reports/167/S167854.html","81X2022.06.05.10.29.06",NA
